id,x,y,author,dept,dept_id
0,692.5376,-205.78741,"Aballay, Alejandro",Molecular Genetics and Microbiology,40
1,1328.5503,-729.3447,"Abdelmalek, Manal F.",Medicine,39
2,1169.9362,-800.29596,"Choi, Steven Sok",Medicine,39
3,1260.8,-676.86084,"Diehl, Anna Mae",Medicine,39
4,1173.0956,-714.1705,"Guy, Cynthia Dianne",Pathology,47
5,1108.4048,-749.82495,"Michelotti, Gregory Alexander",Medicine,39
6,973.3274,-427.2333,"Moylan, Cynthia Ann",Medicine,39
7,-170.81549,34.361362,"Chen, Wei",Medicine,39
8,729.4564,-2140.8489,"Moser, Barry Kurt",Biostatistics & Bioinformatics,9
9,753.4493,-441.51276,"Nightingale, Kathryn Radabaugh",Biomedical Engineering,8
10,997.2254,-494.12695,"Palmeri, Mark L.",Biomedical Engineering,8
11,1458.7625,-924.6121,"Pang, Herbert",Biostatistics & Bioinformatics,9
12,2231.5684,-923.2943,"Cardona, Diana Marcella",Pathology,47
13,1598.2767,-611.0917,"McCall, Shannon Jones",Pathology,47
14,-973.4935,-622.9103,"Smith, Alastair Douglas",Medicine,39
15,710.2999,-854.8416,"Torquati, Alfonso",Surgery,68
16,986.1844,598.92755,"Ashley-Koch, Allison Elizabeth",Medicine,39
17,-768.6586,-354.88837,"Hauser, Michael Arthur",Medicine,39
18,1336.1545,-902.2298,"Murphy, Susan Kay",Obstetrics and Gynecology,44
19,-688.6417,1132.079,"Abdulkadiroglu, Atila",Economics,24
20,1401.9379,-470.0423,"Abernethy, Amy Pickar",Medicine,39
21,1203.1349,88.4966,"Shelby, Rebecca A",Psychiatry & Behavioral Sciences,55
22,1021.44116,-140.96967,"Keefe, Francis Joseph",Psychiatry & Behavioral Sciences,55
23,-872.94916,-1184.907,"McCrory, Douglas Charles",Medicine,39
24,916.2724,-425.52704,"Samsa, Gregory P.",Biostatistics & Bioinformatics,9
25,1476.917,-140.6525,"Uronis, Hope Elizabeth",Medicine,39
26,670.09973,-500.04828,"Morgan, Perri Anne",Community and Family Medicine,14
27,517.3476,647.83453,"Olsen, Maren Karine",Biostatistics & Bioinformatics,9
28,841.2438,-813.6776,"Pollak, Kathryn IIonka",Community and Family Medicine,14
29,648.69775,-659.4683,"Strand de Oliveira, Justine",Community and Family Medicine,14
30,1262.1051,-496.41168,"Tulsky, James Aaron",Medicine,39
31,1337.1337,400.32266,"LeBlanc, Thomas William",Medicine,39
32,2159.7285,-786.6553,"Herndon II, James Emmett",Biostatistics & Bioinformatics,9
33,1350.5509,-162.39044,"Lyerly, Herbert Kim",Surgery,68
34,-502.5055,-1349.0789,"Cox, Christopher Ethan",Medicine,39
35,1400.162,-378.4455,"Kamal, Arif H",Medicine,39
36,1397.1869,-296.78247,"Hirsch, Bradford R",Medicine,39
37,828.45355,-429.90317,"Seewaldt, Victoria Louise",Medicine,39
38,2680.5254,-709.86365,"Nelson, Kelly Carter",Dermatology,18
39,-1900.4668,1462.9631,"Hendrix, Cristina Cu",School of Nursing,63
40,285.63553,147.96835,"Landerman, Lawrence Richard",Medicine,39
